"","Name","open","date"
"13042","ADP",85.22,"2014-11-21"
"13043","ADP",84.51,"2014-11-24"
"13044","ADP",84.69,"2014-11-25"
"13045","ADP",84.72,"2014-11-26"
"13046","ADP",85.26,"2014-11-28"
"13047","ADP",85.18,"2014-12-01"
"13048","ADP",86.45,"2014-12-02"
"13049","ADP",85.49,"2014-12-03"
"13050","ADP",86.06,"2014-12-04"
"13051","ADP",85.79,"2014-12-05"
"13052","ADP",85.36,"2014-12-08"
"13053","ADP",85.18,"2014-12-09"
"13054","ADP",84.56,"2014-12-10"
"13055","ADP",85.53,"2014-12-11"
"13056","ADP",83.47,"2014-12-12"
"13057","ADP",82.81,"2014-12-15"
"13058","ADP",82.77,"2014-12-16"
"13059","ADP",82.62,"2014-12-17"
"13060","ADP",85.87,"2014-12-18"
"13061","ADP",85.45,"2014-12-19"
"13062","ADP",84.72,"2014-12-22"
"13063","ADP",86.31,"2014-12-23"
"13064","ADP",85.13,"2014-12-24"
"13065","ADP",85.57,"2014-12-26"
"13066","ADP",85.02,"2014-12-29"
"13067","ADP",84.74,"2014-12-30"
"13068","ADP",84.38,"2014-12-31"
"13069","ADP",82.98,"2015-01-02"
"13070","ADP",83.25,"2015-01-05"
"13071","ADP",83.3,"2015-01-06"
"13072","ADP",82.22,"2015-01-07"
"13073","ADP",83.96,"2015-01-08"
"13074","ADP",85.05,"2015-01-09"
"13075","ADP",84.72,"2015-01-12"
"13076","ADP",84.8,"2015-01-13"
"13077","ADP",83.08,"2015-01-14"
"13078","ADP",83.87,"2015-01-15"
"13079","ADP",83.56,"2015-01-16"
"13080","ADP",84.83,"2015-01-20"
"13081","ADP",84.56,"2015-01-21"
"13082","ADP",85,"2015-01-22"
"13083","ADP",86.65,"2015-01-23"
"13084","ADP",86.25,"2015-01-26"
"13085","ADP",85.71,"2015-01-27"
"13086","ADP",85.86,"2015-01-28"
"13087","ADP",84.45,"2015-01-29"
"13088","ADP",83.96,"2015-01-30"
"13089","ADP",81.82,"2015-02-02"
"13090","ADP",84.18,"2015-02-03"
"13091","ADP",87.14,"2015-02-04"
"13092","ADP",86.43,"2015-02-05"
"13093","ADP",87.15,"2015-02-06"
"13094","ADP",86.01,"2015-02-09"
"13095","ADP",86.19,"2015-02-10"
"13096","ADP",86.71,"2015-02-11"
"13097","ADP",87.2,"2015-02-12"
"13098","ADP",87.95,"2015-02-13"
"13099","ADP",87.76,"2015-02-17"
"13100","ADP",86.6,"2015-02-18"
"13101","ADP",87.61,"2015-02-19"
"13102","ADP",87.81,"2015-02-20"
"13103","ADP",88.73,"2015-02-23"
"13104","ADP",89.17,"2015-02-24"
"13105","ADP",89.33,"2015-02-25"
"13106","ADP",89.19,"2015-02-26"
"13107","ADP",88.85,"2015-02-27"
"13108","ADP",88.88,"2015-03-02"
"13109","ADP",89.55,"2015-03-03"
"13110","ADP",88.25,"2015-03-04"
"13111","ADP",86.59,"2015-03-05"
"13112","ADP",86.33,"2015-03-06"
"13113","ADP",86.4,"2015-03-09"
"13114","ADP",86.06,"2015-03-10"
"13115","ADP",84.99,"2015-03-11"
"13116","ADP",85.41,"2015-03-12"
"13117","ADP",86.09,"2015-03-13"
"13118","ADP",86.52,"2015-03-16"
"13119","ADP",86.91,"2015-03-17"
"13120","ADP",86.63,"2015-03-18"
"13121","ADP",87.38,"2015-03-19"
"13122","ADP",87.8,"2015-03-20"
"13123","ADP",88.02,"2015-03-23"
"13124","ADP",87.15,"2015-03-24"
"13125","ADP",87.13,"2015-03-25"
"13126","ADP",84.26,"2015-03-26"
"13127","ADP",84.34,"2015-03-27"
"13128","ADP",84.96,"2015-03-30"
"13129","ADP",85.35,"2015-03-31"
"13130","ADP",85.73,"2015-04-01"
"13131","ADP",85.85,"2015-04-02"
"13132","ADP",85.66,"2015-04-06"
"13133","ADP",86.23,"2015-04-07"
"13134","ADP",85.69,"2015-04-08"
"13135","ADP",86.45,"2015-04-09"
"13136","ADP",86.76,"2015-04-10"
"13137","ADP",86.12,"2015-04-13"
"13138","ADP",85.74,"2015-04-14"
"13139","ADP",85.9,"2015-04-15"
"13140","ADP",85.56,"2015-04-16"
"13141","ADP",84.64,"2015-04-17"
"13142","ADP",83.84,"2015-04-20"
"13143","ADP",85.16,"2015-04-21"
"13144","ADP",85.14,"2015-04-22"
"13145","ADP",85.12,"2015-04-23"
"13146","ADP",85.65,"2015-04-24"
"13147","ADP",85.42,"2015-04-27"
"13148","ADP",84.8,"2015-04-28"
"13149","ADP",85.08,"2015-04-29"
"13150","ADP",85.22,"2015-04-30"
"13151","ADP",84.53,"2015-05-01"
"13152","ADP",86.46,"2015-05-04"
"13153","ADP",86.56,"2015-05-05"
"13154","ADP",85.72,"2015-05-06"
"13155","ADP",85.62,"2015-05-07"
"13156","ADP",86.82,"2015-05-08"
"13157","ADP",87.28,"2015-05-11"
"13158","ADP",86.84,"2015-05-12"
"13159","ADP",86.65,"2015-05-13"
"13160","ADP",86.97,"2015-05-14"
"13161","ADP",88.25,"2015-05-15"
"13162","ADP",87.37,"2015-05-18"
"13163","ADP",87.8,"2015-05-19"
"13164","ADP",88.06,"2015-05-20"
"13165","ADP",87.36,"2015-05-21"
"13166","ADP",87.19,"2015-05-22"
"13167","ADP",86.55,"2015-05-26"
"13168","ADP",85.46,"2015-05-27"
"13169","ADP",85.87,"2015-05-28"
"13170","ADP",85.96,"2015-05-29"
"13171","ADP",85.7,"2015-06-01"
"13172","ADP",84.77,"2015-06-02"
"13173","ADP",85.77,"2015-06-03"
"13174","ADP",84.93,"2015-06-04"
"13175","ADP",84.1,"2015-06-05"
"13176","ADP",83.94,"2015-06-08"
"13177","ADP",83.37,"2015-06-09"
"13178","ADP",82.96,"2015-06-10"
"13179","ADP",84.5,"2015-06-11"
"13180","ADP",84.15,"2015-06-12"
"13181","ADP",83.25,"2015-06-15"
"13182","ADP",82.84,"2015-06-16"
"13183","ADP",83.61,"2015-06-17"
"13184","ADP",83.62,"2015-06-18"
"13185","ADP",84.45,"2015-06-19"
"13186","ADP",84.61,"2015-06-22"
"13187","ADP",85.29,"2015-06-23"
"13188","ADP",84.64,"2015-06-24"
"13189","ADP",83.71,"2015-06-25"
"13190","ADP",83.78,"2015-06-26"
"13191","ADP",82.8,"2015-06-29"
"13192","ADP",81.39,"2015-06-30"
"13193","ADP",79.51,"2015-07-01"
"13194","ADP",81.23,"2015-07-02"
"13195","ADP",80,"2015-07-06"
"13196","ADP",80.97,"2015-07-07"
"13197","ADP",80.72,"2015-07-08"
"13198","ADP",81.15,"2015-07-09"
"13199","ADP",81.86,"2015-07-10"
"13200","ADP",81.85,"2015-07-13"
"13201","ADP",81.72,"2015-07-14"
"13202","ADP",81.95,"2015-07-15"
"13203","ADP",82.89,"2015-07-16"
"13204","ADP",83.01,"2015-07-17"
"13205","ADP",82.26,"2015-07-20"
"13206","ADP",82.18,"2015-07-21"
"13207","ADP",81.63,"2015-07-22"
"13208","ADP",81.42,"2015-07-23"
"13209","ADP",81.03,"2015-07-24"
"13210","ADP",79.61,"2015-07-27"
"13211","ADP",79.76,"2015-07-28"
"13212","ADP",80.45,"2015-07-29"
"13213","ADP",80,"2015-07-30"
"13214","ADP",80.2,"2015-07-31"
"13215","ADP",78.59,"2015-08-03"
"13216","ADP",80.54,"2015-08-04"
"13217","ADP",81.78,"2015-08-05"
"13218","ADP",81.78,"2015-08-06"
"13219","ADP",80.18,"2015-08-07"
"13220","ADP",81.01,"2015-08-10"
"13221","ADP",81.26,"2015-08-11"
"13222","ADP",80.74,"2015-08-12"
"13223","ADP",81.52,"2015-08-13"
"13224","ADP",82.16,"2015-08-14"
"13225","ADP",82.82,"2015-08-17"
"13226","ADP",84.32,"2015-08-18"
"13227","ADP",84.39,"2015-08-19"
"13228","ADP",83.71,"2015-08-20"
"13229","ADP",81.84,"2015-08-21"
"13230","ADP",75.21,"2015-08-24"
"13231","ADP",78.5,"2015-08-25"
"13232","ADP",75.62,"2015-08-26"
"13233","ADP",78.32,"2015-08-27"
"13234","ADP",77.76,"2015-08-28"
"13235","ADP",77.86,"2015-08-31"
"13236","ADP",75.46,"2015-09-01"
"13237","ADP",76.06,"2015-09-02"
"13238","ADP",77.1,"2015-09-03"
"13239","ADP",76.24,"2015-09-04"
"13240","ADP",77.34,"2015-09-08"
"13241","ADP",78.49,"2015-09-09"
"13242","ADP",77.1,"2015-09-10"
"13243","ADP",77.28,"2015-09-11"
"13244","ADP",78.48,"2015-09-14"
"13245","ADP",77.92,"2015-09-15"
"13246","ADP",78.93,"2015-09-16"
"13247","ADP",79.68,"2015-09-17"
"13248","ADP",78.56,"2015-09-18"
"13249","ADP",79.38,"2015-09-21"
"13250","ADP",78.44,"2015-09-22"
"13251","ADP",79.36,"2015-09-23"
"13252","ADP",78.61,"2015-09-24"
"13253","ADP",80.44,"2015-09-25"
"13254","ADP",79.98,"2015-09-28"
"13255","ADP",78.56,"2015-09-29"
